readable,hscore,review
"helena paparizou gained some international fame as a winner in 2005 at the eurovision song contest with my number one and while that contest is often more well known for its cheesy songs and performances, helena doesn't fit this category. she truly has a strong, powerful voice capable of wrapping it around many styles of music.  on the dance floor she really does take control and her voice goes into overdrive and on this album there are some standout tracks includiing the groove is the solution  and save me - there's a greek version of the latter here also. also check out uptemp βρέχει φιλιά (crazy for love) and one of the best tracks on the album  (σώμα και ψυχή (set your heart on me).  only the two english tracks here - the rest is in greek - but don't let that stop you if the words sound foreign.  the language sounds lovely and there's plenty of traditional greek overtones in the musical arrangements to give the music that exotic quality.  helena also handles the emotional ballads easily.  interesting that when one talks about ladies with big voices it's usually celine dion, whitney houston and mariah carey yet the european stars are capable of matching them - like helena here (and also sweden's shirley clamp and agnes). great album.. . oh, and if you really love helena's music, check out melodifestivalen 2014 = the swedish contest to select a representative for eurovision this year - as helena is back with a great song survivor which she sings with typical conviction and flair.",8,"helena paparizou gained some international fame as a winner in 2005 at the eurovision song contest with my number one and while that contest is often more well known for its cheesy songs and performances, helena doesn't fit this category. she truly has a strong, powerful voice capable of wrapping it around many styles of music.  on the dance floor she really does take control and her voice goes into overdrive and on this album there are some standout tracks includiing the groove is the solution  and save me - there's a greek version of the latter here also. also check out uptemp βρέχει φιλιά (crazy for love) and one of the best tracks on the album  (σώμα και ψυχή (set your heart on me).  only the two english tracks here - the rest is in greek - but don't let that stop you if the words sound foreign.  the language sounds lovely and there's plenty of traditional greek overtones in the musical arrangements to give the music that exotic quality.  helena also handles the emotional ballads easily.  interesting that when one talks about ladies with big voices it's usually celine dion, whitney houston and mariah carey yet the european stars are capable of matching them - like helena here (and also sweden's shirley clamp and agnes). great album.

oh, and if you really love helena's music, check out melodifestivalen 2014 = the swedish contest to select a representative for eurovision this year - as helena is back with a great song survivor which she sings with typical conviction and flair."
this album is imo the best of bonnie raitt. i never get tired of listening to it.  it would definitely be one of my 'desert island discs'.,9.5,this album is imo the best of bonnie raitt. i never get tired of listening to it.  it would definitely be one of my 'desert island discs'.
great band great sound . if you like great music it's a must have,8,great band great sound . if you like great music it’s a must have
fun christmas gift,7,fun christmas gift
"love yossi banai, he is great. david",3.5,"love yossi banai, he is great
david"
"program is ok to give you an idea how it's done, that's all",5,"program is ok to give you an idea how it's done, that's all"
i had purchased this dvd at church after a showing of the video.. i decided it would be a great gift for my 3 grown children and their mates. it's a beautiful witness and outstanding production of truth.. i highly recommend this for anyone that is an astronomy buff and/or seeking god. what a beautiful presentation!,8,"i had purchased this dvd at church after a showing of the video.
i decided it would be a great gift for my 3 grown children and their mates. it's a beautiful witness and outstanding production of truth.
i highly recommend this for anyone that is an astronomy buff and/or seeking god. what a beautiful presentation!"
"~ some people may shy away from this album because of archie shepp's reputation as a fire breathing tenor sax man - a reputation he earned during the 1960's avant guard period in jazz. others may turn to this cd seeking more of archie's outside playing. either of these potential buyers are in for a surprise. by 1978 when this album was recorded, shepp had largely abandoned the ferocious attack and settled on more melodic flowing lines and a richer burnished tone as he drew inspiration and repertoire from modern standards and bluesy originals.. ~ the pairing with south african pianist abdullah ibrahim (aka dollar brand) is perfect. ibrahim's strong rhythmic playing is the perfect support for shepp's hauntingly beautiful solos. the interaction between the two musicians in exemplary; one would assume they have played together for years.. ~ the recorded sound is excellent on this 45 minute gem.. ~ highlights include the lovely burrell/brown composition 'fortunato' and mal waldron's 'left alone'. ~ highly recommended for those looking for a relaxed, interesting journey. this disc will be of specific interest to those who enjoyed shepp's mid-'70s dates for arista/freedom and ibrahim's more subdued group efforts of the late '70s and early '80s. if you like this cd, you will love ibrahim's solo effort 'african dawn'.",8,"~ some people may shy away from this album because of archie shepp's reputation as a fire breathing tenor sax man - a reputation he earned during the 1960's avant guard period in jazz. others may turn to this cd seeking more of archie's outside playing. either of these potential buyers are in for a surprise. by 1978 when this album was recorded, shepp had largely abandoned the ferocious attack and settled on more melodic flowing lines and a richer burnished tone as he drew inspiration and repertoire from modern standards and bluesy originals.
~ the pairing with south african pianist abdullah ibrahim (aka dollar brand) is perfect. ibrahim's strong rhythmic playing is the perfect support for shepp's hauntingly beautiful solos. the interaction between the two musicians in exemplary; one would assume they have played together for years.
~ the recorded sound is excellent on this 45 minute gem.
~ highlights include the lovely burrell/brown composition 'fortunato' and mal waldron's 'left alone'. ~ highly recommended for those looking for a relaxed, interesting journey. this disc will be of specific interest to those who enjoyed shepp's mid-'70s dates for arista/freedom and ibrahim's more subdued group efforts of the late '70s and early '80s. if you like this cd, you will love ibrahim's solo effort 'african dawn'."
"jackson has had a long and successful career. he's in his 70s now, so we may not hear as much of him going forward. this compilation has most of his biggest hits, including my two favorites of his: 'doctor my eyes' and 'fountain of sorrow.' i don't think he gets enough credit for his songwriting for other artists. he is a very thoughtful lyricist.",8,"jackson has had a long and successful career. he's in his 70s now, so we may not hear as much of him going forward. this compilation has most of his biggest hits, including my two favorites of his: 'doctor my eyes' and 'fountain of sorrow.' i don't think he gets enough credit for his songwriting for other artists. he is a very thoughtful lyricist."
"i don't know why amazon doesn't always have the tracklisting for albums, so here it is for this compilation:. . side one. . shimmy, shimmy, ko-ko-bop - little anthony and the imperials. western movies - the olympics. hot rod lincoln - johnny bond. short fat fanny - little richard. may the bird of paradise fly up your nose - little jimmy dickens. snoopy vs. the red baron - royal guardsmen. . side two. . duke of earl - gene chandler. alley oop - the hollywood argyles. funky broadway - dyke & the blazers. kookie, kookie (lend me your comb) - ed byrnes. you talk too much - joe jones. the purple people eater meets the witch doctor - joe south. ya ya - lee dorsey. . side three. . see you later, alligator - bill haley and the comets. land of thousand dances - cannibal and the headhunters. dirty water - the standells. mule skinner blues - the fendermen. surfin' bird - the trashmen. ahab, the arab - ray stevens. . side four. beep, beep - the playmates. the birds and the bees - jewel akens. cinnamon cinder - pastel six. liar, liar - the castaways. farmer john - the premiers. those oldies but goodies - little ceasar and the romans. percolator - billy joe and the checkmates. . side five. mr. custer - larry verne. seven little girls - paul evans and the curls. sister sooky - the turbans. tutti frutti - little richard. six days on the road - dave dudley. guitarzan - ray stevens. . side six. stranded in the jungle - the jayhawks. bumble boogie - b-bumble and stingers. sergeant preston af the yukon - ray stevens. slippin' and slidin' - little richard. the happy organ - dave 'baby' cortez. a little bit of soap - the jarmels. la bamba - ritchie valens. stagger lee - lloyd price",6,"i don't know why amazon doesn't always have the tracklisting for albums, so here it is for this compilation:

side one

shimmy, shimmy, ko-ko-bop - little anthony and the imperials
western movies - the olympics
hot rod lincoln - johnny bond
short fat fanny - little richard
may the bird of paradise fly up your nose - little jimmy dickens
snoopy vs. the red baron - royal guardsmen

side two

duke of earl - gene chandler
alley oop - the hollywood argyles
funky broadway - dyke & the blazers
kookie, kookie (lend me your comb) - ed byrnes
you talk too much - joe jones
the purple people eater meets the witch doctor - joe south
ya ya - lee dorsey

side three

see you later, alligator - bill haley and the comets
land of thousand dances - cannibal and the headhunters
dirty water - the standells
mule skinner blues - the fendermen
surfin' bird - the trashmen
ahab, the arab - ray stevens

side four
beep, beep - the playmates
the birds and the bees - jewel akens
cinnamon cinder - pastel six
liar, liar - the castaways
farmer john - the premiers
those oldies but goodies - little ceasar and the romans
percolator - billy joe and the checkmates

side five
mr. custer - larry verne
seven little girls - paul evans and the curls
sister sooky - the turbans
tutti frutti - little richard
six days on the road - dave dudley
guitarzan - ray stevens

side six
stranded in the jungle - the jayhawks
bumble boogie - b-bumble and stingers
sergeant preston af the yukon - ray stevens
slippin' and slidin' - little richard
the happy organ - dave 'baby' cortez
a little bit of soap - the jarmels
la bamba - ritchie valens
stagger lee - lloyd price"
stunning playing and a wonderful opportunity to experience rarely heard music and these rare instruments.,8,stunning playing and a wonderful opportunity to experience rarely heard music and these rare instruments.
"oceania is led by hinewehi mohi in collaboration with friend and musician jaz coleman (killing joke).. . oceania and now oceania 2 are hauntingly beautiful albums, all the lyrics compiled by hinewehi mohi from traditional poetry of her ancestors.. . the first album went platinum in new zealand, and her music and performances have won critical acclaim throughout new zealand, the pacific, asia, europe, latin america and the usa.. . [[asin:b00001zu8v oceania]]. . [[asin:b001e6iu7y a century of maori song]]. . [[asin:b0012dynse shrouded in the mist / hinepukohurangi]]",9,"oceania is led by hinewehi mohi in collaboration with friend and musician jaz coleman (killing joke).

oceania and now oceania 2 are hauntingly beautiful albums, all the lyrics compiled by hinewehi mohi from traditional poetry of her ancestors.

the first album went platinum in new zealand, and her music and performances have won critical acclaim throughout new zealand, the pacific, asia, europe, latin america and the usa.

[[asin:b00001zu8v oceania]]

[[asin:b001e6iu7y a century of maori song]]

[[asin:b0012dynse shrouded in the mist / hinepukohurangi]]"
best album ever.,7.5,best album ever.
great drone absolutely love it so far! i love this room so far great addition to my collection!,8,great drone absolutely love it so far! i love this room so far great addition to my collection!
wife is very happy getting this for her birthday,7,wife is very happy getting this for her birthday
"the phoenix authority  - blood, sweat & brass (1968), mainstream records. .   this was the light hearted album of choice this week as the 6 of us travelled in a dodge van from toronto to montreal for the richard bruce 'brucetopia' experience.  although the mood was dim this little old vinyl album keep our spirits high and everyone agreed that this was a fantastic album.  lots of big brass sounds with some great guitar, bass and drumming.  the phoenix authority have it all ...talk about a groovy album !. . check out the amboy dukes version of 'journey to the center of the mind' or the beatles version of 'get back '........ [...]",8,"the phoenix authority  - blood, sweat & brass (1968), mainstream records

  this was the light hearted album of choice this week as the 6 of us travelled in a dodge van from toronto to montreal for the richard bruce 'brucetopia' experience.  although the mood was dim this little old vinyl album keep our spirits high and everyone agreed that this was a fantastic album.  lots of big brass sounds with some great guitar, bass and drumming.  the phoenix authority have it all ...talk about a groovy album !

check out the amboy dukes version of 'journey to the center of the mind' or the beatles version of 'get back '.......
[...]"
wonderful collection of this legendary greek singer!  great seller from greece too!!,8.5,wonderful collection of this legendary greek singer!  great seller from greece too!!
"this is a special 'very limited edition' cd issued by focus features and released supposedly only to members of the academy of motion picture arts and sciences (oscars) when voting for consideration of the oscar in 2005. it won the oscar for best achievement in music written for motion pictures. the cd contains all the beautiful gustavo santaolalla music used in the original motion picture. it does not contain any of the other music used in the motion picture, these tunes can be found in the general release original motion picture soundtrack - brokeback mountain cd. some wonderful music will be found here and nowhere else, the especially beautiful 'horse love' that is the music from the love scene generally known as 'second night in the tent' for instance, a long, 4-1/2 minute piece that backdrops ennis's awakening, leaving, and then returning to jack. for devoted fans of this music and this movie these pieces are indispensable.. . oddly enough, the twenty-two pieces are presented in a very bizarre sequence, seemingly unrelated to the movie in any way. it is easy enough however to download them and reconstruct them in the proper chronological sequence, or even something that makes more sense musically.. . listening to this music you can begin to understand the artistry that went into not only the music itself, but also ang lee's careful use of music in the film. such as the repeated use of certain musical themes during scenes of emotional change and evolution, horse love, flashback, jack deceased, and closet, all provide a haunting background score for these four life-changing scenes.. . expensive. no doubt. you might find it nowadays rarely on an online auction site, in 2006 they were regularly available there for between $70 and $200. if you're a devotee there is nowhere else to obtain this work.",8,"this is a special 'very limited edition' cd issued by focus features and released supposedly only to members of the academy of motion picture arts and sciences (oscars) when voting for consideration of the oscar in 2005. it won the oscar for best achievement in music written for motion pictures. the cd contains all the beautiful gustavo santaolalla music used in the original motion picture. it does not contain any of the other music used in the motion picture, these tunes can be found in the general release original motion picture soundtrack - brokeback mountain cd. some wonderful music will be found here and nowhere else, the especially beautiful 'horse love' that is the music from the love scene generally known as 'second night in the tent' for instance, a long, 4-1/2 minute piece that backdrops ennis's awakening, leaving, and then returning to jack. for devoted fans of this music and this movie these pieces are indispensable.

oddly enough, the twenty-two pieces are presented in a very bizarre sequence, seemingly unrelated to the movie in any way. it is easy enough however to download them and reconstruct them in the proper chronological sequence, or even something that makes more sense musically.

listening to this music you can begin to understand the artistry that went into not only the music itself, but also ang lee's careful use of music in the film. such as the repeated use of certain musical themes during scenes of emotional change and evolution, horse love, flashback, jack deceased, and closet, all provide a haunting background score for these four life-changing scenes.

expensive. no doubt. you might find it nowadays rarely on an online auction site, in 2006 they were regularly available there for between $70 and $200. if you're a devotee there is nowhere else to obtain this work."
"this recording transcends race in guyana and brings back the taste of our multi-ethnic food, the fresh, enhanting smell of our natural wonderland and the stories of our six-plus beautiful peoples, told to us via this beautiful recording in guyanese african culture. the songs are familiar and moves you to heights you had only known in your own country! a must-have for every single race from guyana and others! i love this! i love this! i absolutely love this!",8.5,"this recording transcends race in guyana and brings back the taste of our multi-ethnic food, the fresh, enhanting smell of our natural wonderland and the stories of our six-plus beautiful peoples, told to us via this beautiful recording in guyanese african culture. the songs are familiar and moves you to heights you had only known in your own country! a must-have for every single race from guyana and others! i love this! i love this! i absolutely love this!"
"my husband has been undergoing chemo therapy for his cancer and i have played this and others from this series for him.  their beautiful melodies all have helped him through some very difficult times.  he says it's some the most beautiful music he has heard (and he is not a ""classical music"" fan!).  i just ordered two more today.",8,my husband has been undergoing chemo therapy for his cancer and i have played this and others from this series for him.  their beautiful melodies all have helped him through some very difficult times.  he says it's some the most beautiful music he has heard (and he is not a &#34;classical music&#34; fan!).  i just ordered two more today.
"a pretty solid compilation, ice candy contains tracks released from mid 2010 to mid 2014, with sunshine girl being the oldest track on the album and ice candy being recorded specifically for it. the track list mixes b-sides with big hits like sunshine girl, making up a pretty solid themed offering for the most part:. . 1. jewel. 2. love is everywhere. 3. sunshine girl. 4. chu chu. 5. summer time. 6. dreaming driving. 7. bon appetit. 8. emerald no oka (emerald hill). 9. love before we die. 10. ice candy. . jewel is a driving, upbeat (it's moumoon, duh ;p) track with synth and distorted guitar backing. it's one of moumoon's weaker tracks in my opinion, along the lines of some of their anime theme work.. . love is everywhere, sunshine girl, and chu chu are some of moumoon's most popular tracks, though none of them rate among my favorites.. . summer time (previously an exclusive to the hanabi (fireworks) single), dreaming driving, and bon appetit are solid additions to the fluffy summer love song theme of the album. bon appetit is one of my favorite moumoon songs, so i was glad to see it here.. . with emerald no oka, we get back to very recent songs that haven't had time to prove themselves. it's a good track, but not what i would have chosen to put on this compilation.. . love before we die breaks the upbeat flow completely. it has a very heavy, dramatic feel to it that just doesn't belong on this album. it's a decent song, but it just doesn't belong here.. . ice candy is a fully synthesized song that sounds more like a dance remix than an original moumoon track. i imagine it would be a lot of fun to see it performed live. again though, it just doesn't fit the theme of the compilation.. . the track list is mostly split between 2010 and 2014, with very little from the years in between (only love is everywhere, summer time, and bon appetit come from 2011-2013). i can think of several tracks from 15 doors, no night land, and pain killer (not to mention their earlier work) that would have worked extremely well with the theme, but the selection from love before we die is more puzzling than anything. replacing tracks 1, 8 and 9 with other 2014 songs like butterfly boyfriend, lovin' you, and memories would have made the album a stronger proposition. track 10 is fun and could be a nice feature if the theme were more cohesive.. . while it could have been better, this album covers most of the tracks that seem most popular with moumoon's average fan. it's a little hard to recommend against their regular studio albums, but it's perfect for those people who really just want sunshine girl and chu chu in the same place with some extras that are (mostly) along the same lines.",7,"a pretty solid compilation, ice candy contains tracks released from mid 2010 to mid 2014, with sunshine girl being the oldest track on the album and ice candy being recorded specifically for it. the track list mixes b-sides with big hits like sunshine girl, making up a pretty solid themed offering for the most part:

1. jewel
2. love is everywhere
3. sunshine girl
4. chu chu
5. summer time
6. dreaming driving
7. bon appetit
8. emerald no oka (emerald hill)
9. love before we die
10. ice candy

jewel is a driving, upbeat (it's moumoon, duh ;p) track with synth and distorted guitar backing. it's one of moumoon's weaker tracks in my opinion, along the lines of some of their anime theme work.

love is everywhere, sunshine girl, and chu chu are some of moumoon's most popular tracks, though none of them rate among my favorites.

summer time (previously an exclusive to the hanabi (fireworks) single), dreaming driving, and bon appetit are solid additions to the fluffy summer love song theme of the album. bon appetit is one of my favorite moumoon songs, so i was glad to see it here.

with emerald no oka, we get back to very recent songs that haven't had time to prove themselves. it's a good track, but not what i would have chosen to put on this compilation.

love before we die breaks the upbeat flow completely. it has a very heavy, dramatic feel to it that just doesn't belong on this album. it's a decent song, but it just doesn't belong here.

ice candy is a fully synthesized song that sounds more like a dance remix than an original moumoon track. i imagine it would be a lot of fun to see it performed live. again though, it just doesn't fit the theme of the compilation.

the track list is mostly split between 2010 and 2014, with very little from the years in between (only love is everywhere, summer time, and bon appetit come from 2011-2013). i can think of several tracks from 15 doors, no night land, and pain killer (not to mention their earlier work) that would have worked extremely well with the theme, but the selection from love before we die is more puzzling than anything. replacing tracks 1, 8 and 9 with other 2014 songs like butterfly boyfriend, lovin' you, and memories would have made the album a stronger proposition. track 10 is fun and could be a nice feature if the theme were more cohesive.

while it could have been better, this album covers most of the tracks that seem most popular with moumoon's average fan. it's a little hard to recommend against their regular studio albums, but it's perfect for those people who really just want sunshine girl and chu chu in the same place with some extras that are (mostly) along the same lines."
