readable,hscore,review
"worked great for me.  i put down a thin layer of soil after seeding, kept it wet and got almost 100% germination.  tried same technique with a couple of major brands and didn't work nearly as well.  those had more clover and dandelion in them than any grass.  used this to overseed the patches that didn't grow and now i've got a nice thick lawn.  highly recommend.. . fyi, if you don't keep the seeds moist once they start to germinate, they will die.  you need to do short waterings several times a day for good results, or you need like a week of rain.  any seed will fail without doing this.",7,"worked great for me.  i put down a thin layer of soil after seeding, kept it wet and got almost 100% germination.  tried same technique with a couple of major brands and didn't work nearly as well.  those had more clover and dandelion in them than any grass.  used this to overseed the patches that didn't grow and now i've got a nice thick lawn.  highly recommend.

fyi, if you don't keep the seeds moist once they start to germinate, they will die.  you need to do short waterings several times a day for good results, or you need like a week of rain.  any seed will fail without doing this."
"i love the 6120 mower and am cursing the grass catcher, warning don't not use this. from the minute i put it on the mower i noticed the bottom hooks sit oddly close to the circular blades. within the first pass i noticed the black paint was chipping off due to it being to close to the blades. this is a poorly designed product with a major a design flaw -- but it didn't stop me from continuing to mow my lawn...until today.. . today is my 4th mowing of my lawn with the 6210 and the grass catcher. the grass catcher bumped into the brick edge that is around my lawn and the grass catcher pushed into the blades of the mower and then the mower wouldn't budge an inch. after investigating what was wrong, i saw that one of the blades actually cut into the grass catcher's metal hook and bent the blade. the mower is now completely broken.. . i'm now going to deal with returning it and i am very disappointed. returning products because of design flaws is the pits. come on fiskars, recall this horrible product, or at least stop selling it!",2.5,"i love the 6120 mower and am cursing the grass catcher, warning don't not use this. from the minute i put it on the mower i noticed the bottom hooks sit oddly close to the circular blades. within the first pass i noticed the black paint was chipping off due to it being to close to the blades. this is a poorly designed product with a major a design flaw -- but it didn't stop me from continuing to mow my lawn...until today.

today is my 4th mowing of my lawn with the 6210 and the grass catcher. the grass catcher bumped into the brick edge that is around my lawn and the grass catcher pushed into the blades of the mower and then the mower wouldn't budge an inch. after investigating what was wrong, i saw that one of the blades actually cut into the grass catcher's metal hook and bent the blade. the mower is now completely broken.

i'm now going to deal with returning it and i am very disappointed. returning products because of design flaws is the pits. come on fiskars, recall this horrible product, or at least stop selling it!"
initially performed very well.  but after a few years the plastic becomes very brittle.  would not recommend.  find a better material.,5,initially performed very well.  but after a few years the plastic becomes very brittle.  would not recommend.  find a better material.
"cute little christmas lights, perfect size for indoor or outdoor patio, it's waterproof so it can also place at the garden area.",6.5,"cute little christmas lights, perfect size for indoor or outdoor patio, it’s waterproof so it can also place at the garden area."
nice seed and seems to work well.,7,nice seed and seems to work well.
"it's comfortable, the table in the middle is large and looks nice. although, all the bolts, nuts, and washers came in one cloth bag and no indications of which bolt would match up with what the manual says, so i got mixed up a lot when putting it together.. . overall a bit of a pain to put together but it's nice and a good price",7.5,"it’s comfortable, the table in the middle is large and looks nice. although, all the bolts, nuts, and washers came in one cloth bag and no indications of which bolt would match up with what the manual says, so i got mixed up a lot when putting it together.

overall a bit of a pain to put together but it’s nice and a good price"
"this was just the extra ingredient we needed to keep our spa water clear and unsudsy.  the price was good, and it arrived on time.",7,"this was just the extra ingredient we needed to keep our spa water clear and unsudsy.  the price was good, and it arrived on time."
"works great, excellent value. you can't go wrong with this beer can cooker.",8,"works great, excellent value. you can't go wrong with this beer can cooker."
great deal for the money,7.5,great deal for the money
"great price, and it is well made and should last for a very long time made from cedar.",7.5,"great price, and it is well made and should last for a very long time made from cedar."
"i used this to install an 8 dbi antenna for a helium hotspot in an old church. it was important for me to not make any holes and this umbrella clamp was a perfect solution. i set the width based on the teeth, then used some loctite on the threads before tightening the clamp down. i have no concerns about this clamp loosening. considering it's a 60+ foot climb to get to it, i wanted to make sure i wouldn't have to climb back up.. . for those curious, this is a rak antenna. the metal part of the antenna fits perfectly in the umbrella holder and could then be clamped down (more loctite on the threads).. . given the versatility of this umbrella clamp, i could have moved the piece that holds the antenna so the clamp would have gone around the width of the wood instead of the thickness of the wood.. . if you have an apartment or other place that you cannot drill holes or make permanent attachments, this is a great solution.",7.5,"i used this to install an 8 dbi antenna for a helium hotspot in an old church. it was important for me to not make any holes and this umbrella clamp was a perfect solution. i set the width based on the teeth, then used some loctite on the threads before tightening the clamp down. i have no concerns about this clamp loosening. considering it's a 60+ foot climb to get to it, i wanted to make sure i wouldn't have to climb back up.

for those curious, this is a rak antenna. the metal part of the antenna fits perfectly in the umbrella holder and could then be clamped down (more loctite on the threads).

given the versatility of this umbrella clamp, i could have moved the piece that holds the antenna so the clamp would have gone around the width of the wood instead of the thickness of the wood.

if you have an apartment or other place that you cannot drill holes or make permanent attachments, this is a great solution."
adds the perfect ammount of weight to your flagpole,9,adds the perfect ammount of weight to your flagpole
received the new controller for my traeger on june 1. had one smoke where it worked. tried a second smoke on july 4 and it was bad. don't buy from them. their return policy was 30 days. my fault for not catching that.,3.5,received the new controller for my traeger on june 1. had one smoke where it worked. tried a second smoke on july 4 and it was bad. don't buy from them. their return policy was 30 days. my fault for not catching that.
"this meter is easy to read, works great and is very reasonable.",6,"this meter is easy to read, works great and is very reasonable."
"nice little plant stand, for what i am going to use it for. came fast with all the pieces, and was easy enough to put together. the little maul, gloves and plant tools was a nice extra included.",8.5,"nice little plant stand, for what i am going to use it for. came fast with all the pieces, and was easy enough to put together. the little maul, gloves and plant tools was a nice extra included."
"recently used this for a 5 day camping trip. this was my first time using a solar panel and i was thoroughly impressed! it charged my devices so fast. so easy to set up as collect sunlight. i powered my phone in what seemed like just minutes, my entire power block in a few hours and kept our speaker charged and playing music non stop. i absolutely love it. in the last we'd take all our chargers and when those ran out we were out of luck. now with this, we have free energy to keep things powered and it's effortless. definitely will be getting another for my survival pack and one for use like camping and stuff. love it.",9,"recently used this for a 5 day camping trip. this was my first time using a solar panel and i was thoroughly impressed! it charged my devices so fast. so easy to set up as collect sunlight. i powered my phone in what seemed like just minutes, my entire power block in a few hours and kept our speaker charged and playing music non stop. i absolutely love it. in the last we’d take all our chargers and when those ran out we were out of luck. now with this, we have free energy to keep things powered and it’s effortless. definitely will be getting another for my survival pack and one for use like camping and stuff. love it."
this grill is the perfect size for a small family. it is easy to set up and use. it's perfect for taking in an rv or to the beach.,9,this grill is the perfect size for a small family. it is easy to set up and use. it’s perfect for taking in an rv or to the beach.
i know bondie is a good product but i don't know ifit's working or not. the directions say to apply it in the spring for best results. i'll know how well it works then.,6,i know bondie is a good product but i don't know ifit's working or not. the directions say to apply it in the spring for best results. i'll know how well it works then.
good product.,3,good product.
the only trap that works for me.  easy to set and the moles have almost no choice but to set it off when they crawl through.  other traps have the trigger mechanism so high up that the moles just walk right through and only trigger it if they push up and out.,7,the only trap that works for me.  easy to set and the moles have almost no choice but to set it off when they crawl through.  other traps have the trigger mechanism so high up that the moles just walk right through and only trigger it if they push up and out.
quick delivery. quality seeds. beautiful flowers.,9,quick delivery. quality seeds. beautiful flowers.
love being able to sit on our outdoor porch and stay warm. so relaxing after a long day.,6,love being able to sit on our outdoor porch and stay warm. so relaxing after a long day.
great quality and easy to assemble.,7.5,great quality and easy to assemble.
i planted several trees in my back yard. the yard is quite deep and navigating 200 ft of hose to water was a several hour undertaking. i tried gators but the zipper broke on one of them and they are no good for trees with low branching habits. i had been looking all over for a system like this and was thrilled to find them. but after carefully arranging them around the tree bases and using regular hoses between i discovered that the pressure of the water pops the end off the soaker hoses and not even the first tree in the system get water because the water just gushes out of the end away from the tree. i guess i'll have to go back to using a regular hose and spending half the day watering. what a great idea this product is but what an enormous disappointment it turned out to be. i've never written a review before but was compelled to do so for this product.,2.5,i planted several trees in my back yard. the yard is quite deep and navigating 200 ft of hose to water was a several hour undertaking. i tried gators but the zipper broke on one of them and they are no good for trees with low branching habits. i had been looking all over for a system like this and was thrilled to find them. but after carefully arranging them around the tree bases and using regular hoses between i discovered that the pressure of the water pops the end off the soaker hoses and not even the first tree in the system get water because the water just gushes out of the end away from the tree. i guess i'll have to go back to using a regular hose and spending half the day watering. what a great idea this product is but what an enormous disappointment it turned out to be. i've never written a review before but was compelled to do so for this product.
it is very pretty when it is lit up at night.  i had to use a low spout so i didn't lose all the water out of my birdbath.,6,it is very pretty when it is lit up at night.  i had to use a low spout so i didn't lose all the water out of my birdbath.
works perfectly--accurate. it's nice to 'know' what the % is and not guess or without waiting for the weather report.,6,works perfectly--accurate. it's nice to 'know' what the % is and not guess or without waiting for the weather report.
"i was a little skeptical how the proplugger would empty the plugs. but this is a great product and it performs up to its rating.  much faster than  than an auger or hand held plugger, which i have used for years.  an just as important - it is far less tiring to use versus those tools.  if they had one in a smaller diameter for crocus, scilla, muscari, etc i'd but that too.",8,"i was a little skeptical how the proplugger would empty the plugs. but this is a great product and it performs up to its rating.  much faster than  than an auger or hand held plugger, which i have used for years.  an just as important - it is far less tiring to use versus those tools.  if they had one in a smaller diameter for crocus, scilla, muscari, etc i'd but that too."
bought it as a gift for a neighbor the young boy loves it he think it's straight from heaven ,8,bought it as a gift for a neighbor the young boy loves it he think it's straight from heaven ❣️
very good. i poured and blue. i was able to use awesome (dollar store) to remove the dye off my hands else you'll look like a surf.,7,very good. i poured and blue. i was able to use awesome (dollar store) to remove the dye off my hands else you'll look like a surf.
quick delivery and excellent buy.,7.5,quick delivery and excellent buy.
good product,3,good product
"we've been working on our yard and looking forward to using the tiller. unpacking and assembly took about 15 minutes. started using it and, within 5 minutes, the wheel fell-off due to a lock washer that came loose. additionally, there was a missing flat washer. while minor, it was frustrating to stop and repair a brand new unit. i called customer service, left a call back number, and no one returned the call. on a positive note, it's a powerful lightweight tool which works well on slightly dampened soil. first impressions are lasting, so i couldn't give it a high rating. customer service will be the deciding factor in giving a higher rating on a future update.",5,"we've been working on our yard and looking forward to using the tiller. unpacking and assembly took about 15 minutes. started using it and, within 5 minutes, the wheel fell-off due to a lock washer that came loose. additionally, there was a missing flat washer. while minor, it was frustrating to stop and repair a brand new unit. i called customer service, left a call back number, and no one returned the call. on a positive note, it's a powerful lightweight tool which works well on slightly dampened soil. first impressions are lasting, so i couldn't give it a high rating. customer service will be the deciding factor in giving a higher rating on a future update."
"we have had one of these birdbaths for about 6 years--it still looks new, even though it is not metal, etc.  when we bought the first one, the only color available was the mottled green, so this time we ordered the bronze color--one in the front yard and one in the back.  very happy with the first birdbath so assume we will be as happy with it's sibling.",8,"we have had one of these birdbaths for about 6 years--it still looks new, even though it is not metal, etc.  when we bought the first one, the only color available was the mottled green, so this time we ordered the bronze color--one in the front yard and one in the back.  very happy with the first birdbath so assume we will be as happy with it's sibling."
"everything fit perfect - fuel filter, air filter and spark plug.  would buy again",7.5,"everything fit perfect - fuel filter, air filter and spark plug.  would buy again"
the wheel is the closest thing to oem that i found i am very impressed with the weight of the actual wheel. it's heavy. very impressed. now time will tell. as of now i am happy with my purchase.,7,the wheel is the closest thing to oem that i found i am very impressed with the weight of the actual wheel. it's heavy. very impressed. now time will tell. as of now i am happy with my purchase.
sign looks great - very happy with it.,4,sign looks great - very happy with it.
"i wanted this very sweet item for my ""pet cemetery"". while i knew it wasn't made of concrete,i still thought the resin would be heavier than it is.it is hollow,and would blow away in one good storm.for now i am keeping it indoors.it was packaged very well to prevent breakage.this is cute but not worth the 35 bucks i paid,15 would be more like it.thanx.",6,"i wanted this very sweet item for my &#34;pet cemetery&#34;. while i knew it wasn't made of concrete,i still thought the resin would be heavier than it is.it is hollow,and would blow away in one good storm.for now i am keeping it indoors.it was packaged very well to prevent breakage.this is cute but not worth the 35 bucks i paid,15 would be more like it.thanx."
works great. i noticed this at a local home improvement and found it cheaper here,7,works great. i noticed this at a local home improvement and found it cheaper here
some perlite is just too small but this perlite is a great medium size to ensure that my plants are well draining!!,6.5,some perlite is just too small but this perlite is a great medium size to ensure that my plants are well draining!!
it was perfect!!!!,5,it was perfect!!!!
this item is lightweight and very easy to hang. the colors are beautiful. it makes my room light up with positivity.,8,this item is lightweight and very easy to hang. the colors are beautiful. it makes my room light up with positivity.
"i was disappointed with this product. i received it as a gift for my sons. it seemed well made, but broke in less than 24 hours after the wind kicked up a bit one afternoon. (we're not talking a hurricane or anything). the joints in the wire frame underneath are plastic, and two of them broke. i tried to repair it but crazy glue doesn't seem to bond very well to this plastic. when i called the manufacturer, they offered to send me a new part...for $20 plus $5-10 shipping. that's nearly half the price of the whole product...just for one part! they told me it wasn't guaranteed to withstand anything more than a breeze and that i should take it in when i hear that it's going to be a windy day! i was appalled that a 'wind' toy has to be taken in, out of the wind. they could care less about my situation and actually laughed at me when i got mad. poor customer service. my kids loved it though while it lasted. just treat it gently and keep an eye on the weather! it's overpriced for what it is.",3,"i was disappointed with this product. i received it as a gift for my sons. it seemed well made, but broke in less than 24 hours after the wind kicked up a bit one afternoon. (we're not talking a hurricane or anything). the joints in the wire frame underneath are plastic, and two of them broke. i tried to repair it but crazy glue doesn't seem to bond very well to this plastic. when i called the manufacturer, they offered to send me a new part...for $20 plus $5-10 shipping. that's nearly half the price of the whole product...just for one part! they told me it wasn't guaranteed to withstand anything more than a breeze and that i should take it in when i hear that it's going to be a windy day! i was appalled that a 'wind' toy has to be taken in, out of the wind. they could care less about my situation and actually laughed at me when i got mad. poor customer service. my kids loved it though while it lasted. just treat it gently and keep an eye on the weather! it's overpriced for what it is."
our covered patio looks alive with these accents.  great colors.  lightweight and easy to handle.,7.5,our covered patio looks alive with these accents.  great colors.  lightweight and easy to handle.
"started off slow but now that it is outside and getting some good sunlight and warmth,  it's growing like crazy. still no flowers or fruit, but it's a beautiful cactus",5,"started off slow but now that it is outside and getting some good sunlight and warmth,  it's growing like crazy. still no flowers or fruit, but it's a beautiful cactus"
the terro ant killers are the best on the market !!,5,the terro ant killers are the best on the market !!
good quality,6,good quality
kept blowing yellow tops out of the unit-even replacements.,3,kept blowing yellow tops out of the unit-even replacements.
"[[videoid:1048e868a12140ed56163e9e90b5eb7]] product arrived as advertised. nice color. has not held up as well as other flags used. colors have faded. edge fraying. ordered jan. 11, 2022",5.5,"[[videoid:1048e868a12140ed56163e9e90b5eb7]] product arrived as advertised. nice color. has not held up as well as other flags used. colors have faded. edge fraying. ordered jan. 11, 2022"
"it's hard to get a good seal on the gilmour faucet hookup and so any small leak travels to the back of the unit and gets into the battery compartment where electronics also exist; basically the water leaked in and short circuited this device. i really would like my money back on this unit, and i would like to see them re-design the unit to not put the battery compartment in the back where any bit of water can seep into the unit and destroy it. at least create a better seal so that doesn't happen. i only used this one for a couple of weeks and then it died. i checked the battery compartment where i discovered water was present and the batteries were now corroding from all the water. new batteries did not restore its functionality as i also noticed i could see the electronics from the battery compartment where the water had seeped further. it's just a bad design as water and electronics don't mix. please create a better seal or put the battery compartment on the side maybe.",3,"it's hard to get a good seal on the gilmour faucet hookup and so any small leak travels to the back of the unit and gets into the battery compartment where electronics also exist; basically the water leaked in and short circuited this device. i really would like my money back on this unit, and i would like to see them re-design the unit to not put the battery compartment in the back where any bit of water can seep into the unit and destroy it. at least create a better seal so that doesn't happen. i only used this one for a couple of weeks and then it died. i checked the battery compartment where i discovered water was present and the batteries were now corroding from all the water. new batteries did not restore its functionality as i also noticed i could see the electronics from the battery compartment where the water had seeped further. it's just a bad design as water and electronics don't mix. please create a better seal or put the battery compartment on the side maybe."
